
Al,0,0,1.60151,1.60633,1.59448,1.6025,1.59426,1.59622,1.59468,1.5932,1.60138,1.59789,1.60022,1.59756,1.59111,1.5937,1.59603,1.60538,1.59234,1.60761,1.59583,1.59603,1.59602,1.59467,1.59636,1.6055,1.59604,1.59783,1.59406,1.61171
At,1.5493,1.54873,1.54965,1.5515,1.55116,1.54866,1.55816,1.55327,1.55025,1.55142,1.55273,1.55435,1.55497,1.55517,1.55746,1.55559,1.55309,1.55429,1.55546,1.55272,1.55599,1.55547,1.55491,1.55511,1.55431,1.55409,1.55355,1.56605,1.55253,1.55356
S,0.963248,0.965071,0.965009,0.965892,0.966068,0.964613,0.965943,1.00753,0.966795,0.967014,0.965824,0.966123,0.966075,0.965473,0.966483,0.967054,0.962816,0.965324,0.97199,0.965691,0.970417,0.9649,0.979279,0.965464,0.966498,0.964114,0.964805,0.964342,0.966287,0.964768
T,0.275375,0.238351,0.237657,0.222911,0.234752,0.234461,0.217142,0.224808,0.212733,0.201179,0.147021,0.11697,0.137642,0.150308,0.151436,0.133805,0.21906,0.202597,0.198185,0.11014,0.239386,0.195195,0.204838,0.141786,0.142609,0.222988,0.244714,0.22578,0.24181,0.200844
W,0,1.5705e-05,1.7844e-05,1.9998e-05,1.9335e-05,1.7785e-05,1.8466e-05,1.8967e-05,1.6275e-05,1.9022e-05,1.7582e-05,1.8154e-05,1.6833e-05,1.6712e-05,1.8161e-05,2.1875e-05,1.9956e-05,1.9193e-05,2.2048e-05,1.931e-05,1.5509e-05,2.0512e-05,2.1233e-05,2.1211e-05,2.0255e-05,5.2372e-05,1.804e-05,1.8853e-05,1.7515e-05,2.2142e-05


sim executiontime 83.366
main time tick: 85.0063
