Al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
At,1.70415,1.70596,1.70692,1.7071,1.70574,1.70671,1.70634,1.70463,1.70692,1.70641,1.70679,1.7064,1.70596,1.70604,1.70314,1.70587,1.70613,1.70703,1.70654,1.70414,1.70578,1.7059,1.70567,1.70397,1.70319,1.70539,1.70538,1.70608,1.7069,1.70606
S,0.928116,0.930373,0.930712,0.929727,0.930968,0.931346,0.931348,0.931199,0.931581,0.931258,0.931618,0.933455,0.931678,0.931284,0.931097,0.931015,0.931555,0.931018,0.931441,0.930955,0.931567,0.933656,0.934259,0.933452,0.933905,0.933958,0.937433,0.93371,0.93386,0.933681
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

 0: sim executiontime 79.1528
