
Al,0,0,1.65357,1.66164,1.72833,1.74207,1.72765,1.6498,1.68742,1.15442,1.10631,1.06726,0.986033,0.955403,0.834265,0.815941,0.620114,0.509055,0.276458,0.06397,0.0639393,0.0658193,0.0670586,0.0658289,0.0657676,0.0662273,0.0642306,0.0662849,0.0664047,0.066187,0.0662439,0.066285,0.0657055,0.0659621,0.0641326,0.066223,0.0663383,0.0670371,0.0663342,0.0644786,0.0659839,0.0659718,0.066176,0.0659568,0.267374,0.489315,0.620316,0.740467,0.846222,0.879738,0.968213,0.988383,0.995635,1.06742,1.07493,1.15969,1.6797,1.7167,1.73153,1.80782
S,0.858221,0.862536,0.862979,0.862847,0.862625,0.86233,0.863032,0.859234,0.859247,0.859481,0.859211,0.861599,0.859555,0.859199,0.859171,0.861957,0.861017,0.859289,0.85912,0.859112,0.862139,0.85948,0.859147,0.859727,0.858973,0.860815,0.859638,0.859425,0.858494,0.86536,0.856217,0.858517,0.858607,0.858542,0.861352,0.85836,0.858046,0.858122,0.857922,0.859703,0.858558,0.860062,0.86272,0.864098,0.862282,0.863403,0.861451,0.863166,0.862398,0.862746,0.863383,0.862869,0.862546,0.862754,0.862954,0.862332,0.86228,0.862281,0.868577,0.863703
T,0.395196,0.389323,0.354169,0.314747,0.332545,0.38526,0.334057,0.319779,0.381518,0.351864,0.394324,0.400104,0.336932,0.313947,0.309155,0.347966,0.346918,0.340142,0.392242,0.391352,0.344066,0.344547,0.341455,0.397352,0.399575,0.318304,0.310197,0.346053,0.405319,0.389575,0.329329,0.305824,0.386513,0.385798,0.3574,0.397493,0.299093,0.383982,0.34981,0.339786,0.316937,0.383949,0.386412,0.354717,0.37076,0.401813,0.381869,0.343062,0.308805,0.40081,0.388463,0.316937,0.381563,0.383783,0.384171,0.382978,0.332606,0.382541,0.402395,0.334352
W,0,1.092e-05,9.363e-06,8.777e-06,1.8389e-05,9.074e-06,8.061e-06,1.0602e-05,9.794e-06,2.0654e-05,1.4051e-05,1.6449e-05,2.4639e-05,9.057e-06,1.0142e-05,1.7425e-05,0.000511204,2.2704e-05,1.833e-05,1.0385e-05,1.0335e-05,1.0497e-05,1.1589e-05,1.2748e-05,1.0773e-05,1.1824e-05,1.7157e-05,1.5043e-05,1.1346e-05,1.3764e-05,1.3734e-05,1.2805e-05,1.4823e-05,1.6331e-05,8.829e-06,1.1595e-05,1.1486e-05,9.6e-06,2.6029e-05,2.7302e-05,3.4744e-05,1.1807e-05,9.175e-06,1.4733e-05,1.3843e-05,1.4713e-05,1.2494e-05,1.1401e-05,1.464e-05,1.3058e-05,1.604e-05,1.4425e-05,1.0383e-05,1.4759e-05,1.4975e-05,1.4841e-05,1.327e-05,1.502e-05,9.502e-06,1.0883e-05


 0: sim executiontime 73.2895
 main time tick: 75.0569
