Al,0,0.0428159,0.0429822,0.0418084,0.0425711,0.0411508,0.038781,0.0424131,0.0430039,0.0414891,0.0431377,0.0430142,0.042668,0.0401772,0.0429763,0.0430015,0.0416895,0.0427618,0.0422719,0.042061,0.0411583,0.500534,0.695882,0.896064,1.05915,1.09582,1.11892,1.14912,1.15062,1.32005,1.31173,1.30218,1.15807,1.15449,1.12237,1.10112,1.05778,0.902594,0.700753,0.502597,0.0430033,0.0396362,0.0433055,0.0430406,0.0427738,0.0420882,0.0391117,0.0413842,0.0430024,0.0434456,0.0429909,0.0405945,0.0413009,0.0430061,0.0429889,0.0429944,0.0430213,0.0431954,0.0429904,0.0430904
S,1.77557,1.77753,1.7776,1.79842,1.77725,1.8017,1.77996,1.77674,1.77637,1.78535,1.78078,1.78668,1.786,1.78609,1.78569,1.78305,1.7952,1.79954,1.78779,1.78132,1.78771,1.78708,1.78671,1.78662,1.78241,1.78797,1.78706,1.78933,1.78248,1.78681,1.78834,1.78891,1.7864,1.78241,1.78539,1.78436,1.78435,1.7738,1.78031,1.78383,1.78445,1.7792,1.775,1.78602,1.79038,1.77885,1.77226,1.7731,1.7737,1.77301,1.77298,1.77276,1.77343,1.77395,1.77356,1.77286,1.7725,1.77423,1.7735,1.7731
T,0.401368,0.39797,0.257077,0.321508,0.35686,0.35604,0.39864,0.372732,0.413678,0.318655,0.254032,0.370169,0.193279,0.240199,0.338102,0.22495,0.220668,0.183971,0.306494,0.206814,0.194853,0.141621,0.217803,0.183463,0.157832,0.354715,0.175389,0.350021,0.224269,0.178358,0.218876,0.348763,0.190004,0.195806,0.311832,0.191547,0.238051,0.369266,0.221171,0.391131,0.181739,0.332637,0.336729,0.359717,0.354322,0.420326,0.352625,0.36702,0.362277,0.369831,0.398273,0.208222,0.367626,0.224086,0.377346,0.361662,0.367341,0.365347,0.310949,0.373121
W,0,2.5366e-05,1.9745e-05,1.7932e-05,2.4658e-05,1.749e-05,1.6367e-05,2.0071e-05,2.3187e-05,2.2905e-05,2.1848e-05,1.9715e-05,2.026e-05,2.2016e-05,1.4305e-05,1.882e-05,2.1136e-05,1.9342e-05,1.9485e-05,1.9642e-05,2.136e-05,2.8017e-05,1.7681e-05,2.6744e-05,1.7585e-05,2.2063e-05,1.7562e-05,2.1393e-05,2.3779e-05,2.0968e-05,2.4161e-05,2.2137e-05,2.37e-05,2.0696e-05,1.9123e-05,2.926e-05,1.9714e-05,2.3351e-05,2.8177e-05,2.5414e-05,2.395e-05,1.8119e-05,2.3258e-05,1.9526e-05,1.7482e-05,2.3946e-05,1.5022e-05,2.1721e-05,1.9746e-05,2.1978e-05,1.966e-05,2.8784e-05,2.0358e-05,1.8224e-05,2.2246e-05,2.584e-05,1.4545e-05,1.9514e-05,1.7464e-05,2.2351e-05

sim executiontime 133.166
main time tick: 133.274
