Al,0,0.0422502,0.0413992,0.0414347,0.0431767,0.0391331,0.0393307,0.0410696,0.0423872,0.0424446,0.040147,0.0429685,0.0408232,0.0426999,0.0429252,0.0397696,0.0430178,0.0395883,0.0386478,0.041177,0.0401141,0.105094,0.185667,0.287886,0.383089,0.503693,0.521001,0.552227,0.665576,0.679302,1.60345,0.678433,0.663864,0.54456,0.520139,0.508277,0.382554,0.286757,0.183593,0.102674,0.0388885,0.0425272,0.0428551,0.0396249,0.0399017,0.0387673,0.0425774,0.04219,0.0414699,0.0429282,0.039712,0.0430049,0.0410588,0.0399363,0.040074,0.0430108,0.0389087,0.042343,0.0393822,0.042065
At,0.0430098,0.042968,0.0421281,0.0421741,0.0421617,0.0421638,0.0421731,0.0421929,0.0422099,0.0421557,0.0421331,0.0421197,0.0421367,0.0422008,0.0421309,0.0421038,0.0421245,0.042161,0.0421245,0.0421627,0.104367,0.185329,0.282855,0.374041,0.491561,0.507098,0.537283,0.644498,0.663481,1.55642,0.663781,0.644881,0.537099,0.506322,0.49166,0.374414,0.281216,0.185562,0.104315,0.0421507,0.0421576,0.0422528,0.0430238,0.0422277,0.0421343,0.042136,0.0422626,0.0421007,0.0422044,0.0422642,0.0421398,0.0423245,0.042346,0.0420809,0.0422058,0.0421939,0.042135,0.0421937,0.0421264,0.0422051
S,1.7766,1.7797,1.78077,1.77828,1.78005,1.78142,1.77992,1.77544,1.78014,1.78142,1.78012,1.78809,1.78215,1.78018,1.78342,1.77609,1.78074,1.78091,1.7797,1.78117,1.78067,1.78029,1.77966,1.78045,1.77762,1.77824,1.77767,1.77706,1.77918,1.7803,1.77728,1.77695,1.77951,1.77507,1.77626,1.77858,1.77615,1.77592,1.7763,1.77683,1.77602,1.77722,1.78312,1.77693,1.77643,1.77703,1.777,1.77671,1.77705,1.77636,1.77527,1.77652,1.77543,1.7759,1.78175,1.77575,1.78442,1.78676,1.83657,1.77581
T,0.468885,0.436187,0.395859,0.225704,0.402375,0.371755,0.376487,0.378646,0.392617,0.394785,0.373986,0.430933,0.353337,0.273165,0.209932,0.237828,0.407734,0.157859,0.258213,0.364185,0.415425,0.390927,0.402593,0.37266,0.175924,0.389204,0.38739,0.410948,0.208466,0.325808,0.39398,0.326173,0.373701,0.381409,0.397846,0.421267,0.375104,0.227409,0.371535,0.174991,0.340923,0.371924,0.21128,0.337343,0.195264,0.377225,0.360611,0.278188,0.397227,0.418461,0.379248,0.356857,0.36133,0.396981,0.338292,0.393049,0.276119,0.427169,0.177137,0.199248
W,0,1.792e-05,2.0214e-05,1.6474e-05,2.0754e-05,2.1376e-05,1.6135e-05,2.0986e-05,2.0057e-05,1.9938e-05,1.4051e-05,1.8708e-05,1.897e-05,2.1618e-05,2.0736e-05,2.1465e-05,2.3406e-05,1.8052e-05,1.5599e-05,2.0781e-05,1.7407e-05,2.2456e-05,2.3754e-05,2.224e-05,2.4463e-05,2.575e-05,2.0899e-05,1.5896e-05,1.9415e-05,2.4498e-05,1.7972e-05,2.3033e-05,1.8347e-05,1.9924e-05,2.293e-05,2.0564e-05,1.6866e-05,1.9563e-05,1.5652e-05,2.0079e-05,2.4326e-05,1.6355e-05,1.9418e-05,1.8184e-05,2.2808e-05,1.5511e-05,2.8671e-05,1.7176e-05,2.2811e-05,1.6338e-05,1.9577e-05,1.947e-05,1.7255e-05,1.3928e-05,1.7549e-05,2.3396e-05,2.1622e-05,2.2509e-05,2.2059e-05,2.4852e-05
