
Al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
At,0.0422022,0.0421233,0.0421367,0.0421371,0.0420699,0.0421696,0.0429921,0.0421259,0.0421846,0.0421762,0.0421233,0.0421903,0.0420756,0.0421698,0.0423782,0.497814,0.682249,0.870141,1.0325,1.07019,1.09049,1.11923,1.11428,1.27376,1.54994,1.55096,1.5628,1.55264,1.55054,1.55187,1.55244,1.55298,1.55486,1.55405,1.55795,1.27641,1.11758,1.11806,1.08992,1.06223,1.03229,0.870486,0.682352,0.491268,0.042145,0.0421815,0.0420973,0.0421431,0.0421939,0.0421319,0.0430005,0.0422025,0.042109,0.0422726,0.0421553,0.0421805,0.0429814,0.0421581,0.0429952,0.0421712
S,1.80441,1.79184,1.79188,1.79299,1.79058,1.79184,1.79433,1.79324,1.79107,1.81378,1.79386,1.79115,1.79084,1.79528,1.79078,1.7967,1.79113,1.78899,1.78957,1.79199,1.7873,1.7891,1.79128,1.78923,1.78889,1.7891,1.78819,1.78845,1.78884,1.78944,1.80091,1.78962,1.78831,1.79878,1.79805,1.78869,1.78862,1.78836,1.78893,1.78911,1.7993,1.79176,1.78962,1.78898,1.7892,1.79368,1.79455,1.79212,1.80329,1.7929,1.79266,1.79476,1.79481,1.79301,1.79262,1.79421,1.79228,1.79505,1.79373,1.7937
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0



sim executiontime 143.722
