
Al,0,0.0430137,0.0415166,0.0407583,0.0427975,0.0431774,0.0420864,0.0425092,0.0410832,0.0425512,0.0407992,0.0429991,0.0414879,0.042989,0.043129,0.0430194,0.504904,0.699568,0.900485,1.06668,1.09643,1.12608,1.15125,1.15875,1.3247,1.59585,1.5954,1.61264,1.60331,1.61374,1.59375,1.59971,1.59336,1.60069,1.60837,1.61091,1.32351,1.15332,1.14788,1.11561,1.09632,1.06404,0.895748,0.70733,0.498802,0.0409598,0.0415943,0.0420236,0.0419504,0.0430006,0.0429459,0.0411038,0.0386264,0.0403876,0.04096,0.0389291,0.0407844,0.0420609,0.0402421,0.038597
S,1.77715,1.77867,1.78063,1.77793,1.78033,1.78051,1.78012,1.7845,1.77705,1.78072,1.8171,1.78042,1.78042,1.7814,1.78097,1.78162,1.77624,1.77733,1.77677,1.77906,1.78013,1.78955,1.77774,1.77817,1.79302,1.77892,1.77761,1.77728,1.7813,1.77789,1.77942,1.77771,1.77938,1.779,1.77983,1.79838,1.77705,1.7826,1.77622,1.78003,1.77792,1.77702,1.77577,1.78039,1.77778,1.77849,1.77619,1.77615,1.78308,1.77439,1.77833,1.79366,1.77407,1.77378,1.77501,1.77408,1.77387,1.77502,1.77457,1.77429
T,0.429453,0.407849,0.372052,0.376157,0.160576,0.342601,0.397719,0.344539,0.336877,0.207835,0.2419,0.249278,0.387605,0.387952,0.387488,0.242753,0.43557,0.381431,0.243253,0.384045,0.256383,0.207078,0.423513,0.338628,0.236367,0.222883,0.336451,0.319083,0.341924,0.344992,0.237102,0.431947,0.368223,0.447556,0.358665,0.303405,0.338468,0.219253,0.412849,0.375201,0.399645,0.382307,0.404585,0.403559,0.375486,0.360015,0.420212,0.372687,0.362968,0.387908,0.224263,0.390289,0.374146,0.411501,0.276391,0.419968,0.386758,0.370159,0.276542,0.364847
W,0,2.2921e-05,2.0267e-05,2.0942e-05,2.8088e-05,2.1098e-05,1.8026e-05,2.0922e-05,1.9082e-05,2.3377e-05,2.8149e-05,1.884e-05,3.5235e-05,1.9155e-05,1.7247e-05,1.8804e-05,2.2811e-05,1.6239e-05,2.9175e-05,2.2463e-05,1.7595e-05,8.0779e-05,2.1658e-05,2.2781e-05,2.18e-05,2.6251e-05,1.526e-05,1.7915e-05,2.312e-05,4.0909e-05,1.982e-05,2.1874e-05,2.2998e-05,4.3859e-05,1.8272e-05,1.7825e-05,2.1263e-05,2.4714e-05,2.5575e-05,2.8342e-05,2.4607e-05,4.176e-05,2.2923e-05,1.6744e-05,2.2077e-05,4.5818e-05,1.6871e-05,2.0533e-05,1.5419e-05,2.2299e-05,2.3189e-05,2.279e-05,1.6136e-05,1.913e-05,2.0326e-05,1.74e-05,2.0294e-05,2.3128e-05,1.4585e-05,1.6283e-05


sim executiontime 133.223
