Al,0,0.0318994,0.0318194,0.0318267,0.0301033,0.0303901,0.0312792,0.0315413,0.0323321,0.0336328,0.0319295,0.032091,0.0328955,0.0315106,0.0342428,0.0318337,0.0490586,0.0557481,0.0938759,0.723075,0.723075,4.66393,13.1483,15.8087,35.9792
S,0.963537,0.963057,0.965633,0.964388,0.964863,0.976902,0.966509,0.964541,0.964795,0.964981,0.964755,0.963917,0.965159,0.964742,0.967404,0.965101,0.966382,0.965209,1.00695,0.977419,0.965437,0.973434,0.964236,0.973837,0.964002
T,0.328926,0.234683,0.217111,0.16494,0.183517,0.19012,0.192014,0.182557,0.183567,0.194489,0.162697,0.192394,0.20132,0.155698,0.200399,0.191969,0.19299,0.163765,0.184711,0.192045,0.162752,0.124791,0.576158,0.196294,0.10001
W,0,1.6495e-05,1.9185e-05,1.8188e-05,2.1926e-05,2.2404e-05,1.5235e-05,2.4723e-05,2.2212e-05,2.2776e-05,2.948e-05,2.2375e-05,2.8039e-05,1.794e-05,1.7739e-05,1.8022e-05,2.4623e-05,1.894e-05,1.8099e-05,2.578e-05,2.8574e-05,1.2341e-05,1.4071e-05,0.929226,0.000528306


