
Al,0,0.0666547,0.0655242,0.0663135,0.127443,0.276987,0.269461,0.269747,0.110869,0.066352,0.0698408,0.0659615,0.108236,0.306879,0.277364,0.306542,0.109504,0.0724327,0.0659991,0.0655301,0.120342,0.277694,0.296164,0.278334,0.108343,0.0658435,0.0708619,0.0663227,0.126985,0.277347,0.278114,0.27773,0.115789,0.0677215,0.0660196,0.0678167,0.108281,0.279762,0.303452,0.276513,0.116029,0.0668574,0.0671989,0.0668799,0.125579,0.315426,0.275078,0.26951,0.110713,0.0661284,0.0662812,0.0701307,0.110396,0.270041,0.300861,0.277212,0.106866,0.0652985,0.0659988,0.0644065
S,0.994705,0.994984,1.00161,0.998437,0.997881,0.999419,0.999287,0.998979,0.998775,0.998178,1.00025,0.998961,0.998778,0.9988,1.0314,0.997741,0.999072,0.998754,0.998679,0.998096,0.99777,1.00023,0.999624,0.998206,0.998796,0.99735,1.00015,1.00091,1.00004,0.999309,0.998459,1.0012,1.0023,0.99953,1.00185,0.99856,1.00065,1.00119,0.999517,1.00226,0.998945,0.998379,1.0015,0.999746,1.00048,0.99864,0.996671,0.99844,0.996525,0.994316,0.992672,0.99654,0.992737,0.993066,0.992983,0.992479,0.992471,0.993008,1.01426,0.992374
T,0.292627,0.110476,0.154108,0.139255,0.190894,0.154871,0.13376,0.172528,0.148563,0.149799,0.146934,0.122873,0.135195,0.161185,0.10936,0.133586,0.150149,0.136265,0.143212,0.141426,0.174132,0.152425,0.112059,0.160785,0.119636,0.165057,0.146914,0.152534,0.139576,0.12697,0.108007,0.169677,0.16572,0.125671,0.121824,0.187275,0.155362,0.15988,0.150762,0.132649,0.127486,0.1775,0.121438,0.112769,0.13031,0.129204,0.176263,0.161882,0.132378,0.142014,0.164407,0.182467,0.14839,0.136622,0.129167,0.160837,0.14018,0.157546,0.125317,0.186967
W,0,2.1616e-05,2.8526e-05,1.5494e-05,2.5869e-05,2.1938e-05,1.5664e-05,2.2917e-05,1.9317e-05,2.4146e-05,1.4498e-05,1.6338e-05,1.6723e-05,1.7856e-05,1.3804e-05,1.9741e-05,2.3422e-05,1.827e-05,1.5788e-05,1.7597e-05,2.2456e-05,4.4355e-05,1.5276e-05,1.6151e-05,2.1359e-05,2.2765e-05,1.651e-05,2.019e-05,2.7483e-05,2.2141e-05,2.1732e-05,2.1356e-05,1.6408e-05,2.7406e-05,1.8005e-05,2.3496e-05,1.3866e-05,1.7215e-05,2.2221e-05,1.6609e-05,1.9169e-05,2.4317e-05,1.9851e-05,1.6554e-05,2.2983e-05,1.6033e-05,1.7239e-05,3.4506e-05,2.0479e-05,2.5815e-05,2.0738e-05,1.8309e-05,1.936e-05,1.8691e-05,1.6282e-05,2.4341e-05,1.6334e-05,2.0645e-05,2.1038e-05,1.7008e-05

0: sim executiontime 71.5335
main time tick: 71.6525
