T,0.184291,0.150229,0.205027,0.172636,0.229583,0.174129,0.17535,0.228,0.167265,0.201949,0.167466,0.165613,0.177954,0.212867,0.185161,0.182398,0.211718,0.176504,0.191906,0.215089,0.181984,0.190878,0.162654,0.331005,0.164536
At,1.1923,0.0892229,0.0865562,0.0859575,0.0856729,0.0863588,0.0858967,0.089839,0.086586,0.0861917,0.0857923,0.0857303,0.0857909,0.0876095,0.0857866,0.0857551,0.0863888,0.119499,0.592332,4.68025,3.31521,3.4602,3.57251,3.7338,3.81629
S,0.966137,0.966588,0.967234,0.969289,0.970491,0.967246,0.973055,0.971297,0.97141,0.970222,0.970521,0.969146,0.969816,0.974991,0.969471,0.969893,0.968461,0.963824,0.968314,0.973319,0.968745,0.969019,0.970086,0.97481,0.976882
Al,0,0.0303055,0.0318559,0.0352038,0.0322866,0.032121,0.0354472,0.0323951,0.0316452,0.0326741,0.0605057,0.0318348,0.0326299,0.067163,0.0637526,0.0356177,0.0350358,0.0365826,0.0714491,0.682972,0.682972,3.84318,9.60197,20.3462,34.7993
W,0,2.0355e-05,2.6084e-05,1.38e-05,2.3009e-05,1.772e-05,3.5103e-05,1.9564e-05,3.1485e-05,2.2068e-05,2.1519e-05,2.5775e-05,2.7235e-05,2.3969e-05,2.1138e-05,2.5386e-05,2.9497e-05,1.836e-05,2.5682e-05,2.4461e-05,3.2683e-05,2.5052e-05,2.5919e-05,2.1052e-05,1.2594e-05
