Al,0,0.065847,0.066393,0.0664629,0.0662041,0.070789,0.0646997,0.0688618,0.0661584,0.0660328,0.0656489,0.06562,0.0664002,0.0657788,0.0665131,0.066236,0.0641562,0.286878,0.45954,0.604092,0.737131,0.831807,0.901525,0.990119,1.01849,1.01349,1.03823,1.70611,1.71467,1.70345,1.76048,1.64519,1.70751,1.6617,1.69732,1.71858,1.69827,1.66404,1.05376,0.96318,0.899792,0.80791,0.747383,0.67894,0.498231,0.293194,0.0647459,0.0665133,0.0659319,0.0665081,0.0660982,0.0663144,0.066584,0.0663292,0.0660698,0.0661682,0.0660679,0.0663401,0.0657622,0.0644998
S,0.849622,0.859264,0.859876,0.859813,0.858564,0.858547,0.858471,0.859201,0.858826,0.858429,0.858305,0.863686,0.858821,0.858459,0.858697,0.857884,0.858713,0.857673,0.858015,0.857396,0.858347,0.85774,0.857137,0.857557,0.857496,0.857333,0.857697,0.856542,0.858217,0.858128,0.858774,0.858003,0.858396,0.860276,0.855422,0.85766,0.860999,0.857656,0.857206,0.854434,0.857617,0.856943,0.858674,0.857628,0.858234,0.857137,0.857867,0.857979,0.857659,0.858171,0.857025,0.857327,0.855217,0.855141,0.857723,0.857021,0.856636,0.857476,0.854973,0.857436
T,0.336193,0.375501,0.380703,0.336369,0.317995,0.319062,0.344087,0.380287,0.306882,0.328849,0.368043,0.389384,0.326816,0.360337,0.371956,0.309588,0.388829,0.372413,0.371153,0.333139,0.333582,0.354377,0.317265,0.384652,0.384122,0.305926,0.365716,0.36101,0.315849,0.385097,0.401011,0.359486,0.335806,0.331668,0.332034,0.396342,0.401017,0.324886,0.345437,0.318248,0.320046,0.307187,0.387198,0.401012,0.323889,0.360042,0.341405,0.354781,0.343421,0.332747,0.3674,0.37158,0.374588,0.30742,0.388573,0.304972,0.386435,0.369514,0.338726,0.336817
W,0,9.51e-06,1.3336e-05,1.3644e-05,1.6926e-05,2.4298e-05,1.5716e-05,1.3298e-05,1.4654e-05,1.3679e-05,7.021e-06,1.2629e-05,1.0511e-05,1.1995e-05,9.479e-06,1.1162e-05,1.0711e-05,2.0159e-05,1.2918e-05,2.1649e-05,9.831e-06,1.1649e-05,1.3045e-05,1.0749e-05,1.5413e-05,9.603e-06,1.2757e-05,1.2558e-05,1.728e-05,1.5228e-05,2.9077e-05,1.2955e-05,1.7087e-05,1.701e-05,1.0092e-05,1.1282e-05,9.717e-06,1.184e-05,1.2271e-05,1.3701e-05,1.7538e-05,7.969e-06,1.514e-05,1.4317e-05,1.0125e-05,1.2611e-05,8.921e-06,9.719e-06,2.2928e-05,1.0588e-05,1.7031e-05,9.612e-06,1.2e-05,2.5348e-05,1.0164e-05,1.3279e-05,1.3348e-05,1.1799e-05,1.0834e-05,9.961e-06

sim executiontime 73.0741

