

Al,0,0.0426121,0.0407571,0.0422385,0.0424748,0.0433227,0.0429855,0.042502,0.0430476,0.0429866,0.0426777,0.0422794,0.0429899,0.0424932,0.0420595,0.0434589,0.0417201,0.0430359,0.0426695,0.041126,0.0429775,0.0418106,0.0424092,0.0428176,0.0431432,0.042069,0.0436405,0.0430448,0.0430237,0.0428387
S,0.967668,0.980455,0.972608,0.972129,0.970915,0.970554,0.972341,0.970075,0.970934,0.969844,0.969305,0.97215,0.962367,0.963098,0.964107,0.963716,0.964663,0.963218,0.964184,0.974307,0.963794,0.963313,0.964205,0.963697,0.964,0.964659,0.964278,0.964454,0.964364,0.964218
T,0.176978,0.23042,0.141802,0.121803,0.122924,0.121258,0.095361,0.14795,0.120123,0.202492,0.165821,0.120633,0.113203,0.167807,0.220769,0.121823,0.192779,0.114561,0.165743,0.226164,0.131506,0.209467,0.105586,0.154839,0.153561,0.102248,0.150813,0.121044,0.149171,0.203369
W,0,3.9907e-05,1.5925e-05,2.2203e-05,1.8834e-05,1.9577e-05,1.8773e-05,1.6816e-05,1.7242e-05,1.7149e-05,2.0158e-05,1.9346e-05,1.6949e-05,1.8036e-05,1.9694e-05,3.7035e-05,2.27e-05,1.839e-05,1.7942e-05,1.9751e-05,1.9622e-05,2.0736e-05,1.741e-05,2.1827e-05,1.8536e-05,1.6391e-05,1.6461e-05,1.9727e-05,1.7971e-05,1.9007e-05


sim executiontime 36.4061
main time tick: 36.48
