Al,0,0.0661176,0.279939,0.638629,0.275209,0.0661192,0.272921,0.617799,0.282709,0.0640931,0.273904,0.631613,0.275672,0.0655345,0.268294,0.618067,0.27643,0.0663076,0.275237,0.620567,0.268022,0.0657744,0.300307,0.638393,0.276186,0.0661654,0.296214,0.619127,0.268062,0.0656721,0.305556,0.630613,0.275944,0.0663978,0.291888,0.615754,0.276267,0.0652924,0.301923,0.624187,0.287376,0.065973,0.275865,0.622306,0.268489,0.0658434,0.297652,0.70349,0.276176,0.064082,0.274913,0.654416,0.268943,0.0660446,0.276187,0.599933,0.26713,0.0683221,0.290832,0.626436
S,0.856916,0.857459,0.857549,0.858002,0.857204,0.855525,0.857529,0.855609,0.858493,0.857213,0.857933,0.85589,0.859415,0.85497,0.858818,0.858495,0.859015,0.858459,0.858137,0.857743,0.857663,0.858552,0.854982,0.858032,0.857391,0.858339,0.858544,0.858774,0.858545,0.857778,0.858187,0.85845,0.854743,0.858273,0.857764,0.858069,0.85845,0.857592,0.856959,0.863822,0.858376,0.85443,0.857867,0.857459,0.856938,0.85961,0.858925,0.857637,0.857579,0.85693,0.858298,0.857032,0.858024,0.85666,0.857105,0.85949,0.857308,0.857335,0.857868,0.857441
T,0.436575,0.386202,0.359267,0.394225,0.387396,0.385599,0.306491,0.308348,0.330966,0.384941,0.401564,0.389912,0.358968,0.398686,0.39978,0.362124,0.389451,0.316235,0.380307,0.331885,0.341987,0.401101,0.335727,0.372024,0.385534,0.325953,0.351356,0.319821,0.355202,0.311248,0.299223,0.402539,0.327086,0.327017,0.358221,0.334209,0.403121,0.363744,0.320832,0.362846,0.382902,0.32958,0.351146,0.32374,0.335947,0.285758,0.323646,0.330447,0.391367,0.456238,0.332652,0.299983,0.327478,0.365286,0.384189,0.315408,0.322628,0.32389,0.371046,0.338343
W,0,0.000461797,1.1934e-05,8.426e-06,1.33e-05,1.0712e-05,9.074e-06,1.0425e-05,1.3796e-05,1.3377e-05,1.0073e-05,1.2768e-05,1.2107e-05,1.0973e-05,1.4837e-05,1.2368e-05,1.0617e-05,1.1745e-05,1.2384e-05,1.1578e-05,8.883e-06,1.0249e-05,8.92e-06,1.0085e-05,1.634e-05,1.0585e-05,9.359e-06,1.1027e-05,9.469e-06,1.4972e-05,1.2097e-05,1.7936e-05,1.3148e-05,1.335e-05,1.1768e-05,1.2346e-05,1.7081e-05,1.1266e-05,1.4813e-05,1.3447e-05,1.3415e-05,1.4635e-05,1.1992e-05,1.6172e-05,1.046e-05,1.4352e-05,9.609e-06,1.6428e-05,1.0937e-05,8.888e-06,1.1372e-05,1.5465e-05,1.0186e-05,1.2013e-05,9.321e-06,1.7134e-05,8.912e-06,1.52e-05,1.2122e-05,1.4391e-05



0: sim executiontime 72.8045
main time tick: 73.0817
