Al,0,0.0420124,0.043008,0.0422745,0.0430148,0.042412,0.0406713,0.0406284,0.0399359,0.0421146,0.0426224,0.0390648,0.042748,0.0430097,0.0427749,0.0429921,0.042998,0.0429896,0.0421728,0.50467,0.703881,0.894478,1.0618,1.08738,1.12481,1.14784,1.15899,1.31019,1.61608,1.59869,1.61275,1.59327,1.5949,1.60563,1.31298,1.14811,1.14848,1.12056,1.08867,1.06276,0.903428,0.698867,0.507378,0.0413626,0.0423761,0.040332,0.0428404,0.0428202,0.0434603,0.0429988,0.0433545,0.0426406,0.0425745,0.0426245,0.0434421,0.0430344,0.0429855,0.0429581,0.0427112,0.0428926
S,1.77053,1.77992,1.78025,1.77636,1.78953,1.79526,1.77714,1.77517,1.78286,1.77726,1.77852,1.77705,1.77623,1.77589,1.77633,1.7763,1.77625,1.77829,1.7762,1.77622,1.77651,1.77894,1.77703,1.79441,1.77706,1.777,1.77738,1.77698,1.77655,1.77733,1.7772,1.77693,1.79077,1.78147,1.77617,1.77836,1.77675,1.77725,1.77686,1.77587,1.77549,1.77632,1.77535,1.77549,1.77533,1.77575,1.77466,1.77558,1.7774,1.77679,1.77676,1.77549,1.77611,1.7757,1.77648,1.77552,1.77572,1.77497,1.77576,1.79477
T,0.525009,0.313596,0.185139,0.142802,0.220846,0.157852,0.159336,0.190405,0.213067,0.23967,0.209418,0.173695,0.255662,0.192537,0.361347,0.225621,0.316002,0.302284,0.320446,0.268061,0.187535,0.198556,0.208788,0.316027,0.24092,0.209887,0.158994,0.322164,0.271556,0.22601,0.354877,0.428803,0.321501,0.365226,0.427176,0.355998,0.351739,0.159181,0.181421,0.264371,0.186742,0.251701,0.320076,0.181722,0.162114,0.247315,0.181316,0.369868,0.329076,0.331259,0.412025,0.398715,0.360624,0.213125,0.214387,0.389884,0.203258,0.289224,0.355039,0.388117
W,0,2.351e-05,2.5716e-05,2.0322e-05,2.2703e-05,2.1911e-05,1.8922e-05,2.0968e-05,1.872e-05,1.8269e-05,1.413e-05,2.0333e-05,1.8063e-05,1.846e-05,2.4657e-05,2.5796e-05,1.4923e-05,2.5196e-05,1.7006e-05,2.2152e-05,2.2891e-05,1.8249e-05,2.3519e-05,2.8179e-05,1.6727e-05,1.5387e-05,1.8586e-05,2.0721e-05,3.5205e-05,1.8691e-05,2.6073e-05,2.0127e-05,4.1787e-05,1.7767e-05,1.8659e-05,1.5632e-05,2.6308e-05,1.8565e-05,1.703e-05,3.0614e-05,2.2566e-05,1.6834e-05,4.1698e-05,1.894e-05,1.8782e-05,1.8714e-05,1.7951e-05,1.8754e-05,2.1006e-05,2.0329e-05,2.4856e-05,2.7519e-05,1.8095e-05,1.857e-05,2.1432e-05,2.5639e-05,2.0842e-05,2.0009e-05,2.2315e-05,1.8306e-05



sim executiontime 133.139

