



Al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
At,0.0421574,0.0421586,0.0422103,0.0420957,0.0421073,0.0421188,0.042371,0.0421185,0.0421433,0.042115,0.0420952,0.0421689,0.0421124,0.0421057,0.042136,0.0421324,0.0421441,0.0421896,0.491027,0.682087,0.867395,1.03144,1.06022,1.08968,1.11761,1.13789,1.26973,1.55236,1.55013,1.54762,1.54559,1.54975,1.54724,1.26901,1.11185,1.11326,1.08572,1.05798,1.03127,0.870017,0.679036,0.490727,0.042129,0.0421126,0.0421221,0.0420609,0.0421078,0.0421999,0.042984,0.0421264,0.0421014,0.0421202,0.0429745,0.0421283,0.0421872,0.0421247,0.0420244,0.0421653,0.0420911,0.0421093
S,1.7777,1.77781,1.77889,1.77466,1.77509,1.77624,1.77639,1.7769,1.77383,1.81509,1.77565,1.78123,1.7767,1.77879,1.77416,1.78352,1.77591,1.77855,1.77472,1.77736,1.77493,1.77484,1.79081,1.77653,1.79939,1.77475,1.78719,1.77541,1.77533,1.77577,1.77506,1.77532,1.7749,1.7737,1.77302,1.77447,1.7733,1.77371,1.77367,1.77461,1.77348,1.77428,1.77452,1.77579,1.77654,1.77687,1.77818,1.77341,1.77401,1.78483,1.77669,1.79084,1.77981,1.77742,1.77459,1.77599,1.77676,1.77732,1.77321,1.77478
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0




sim executiontime 135.25
